2026-07-13 18:34:27.187 CHROME | createNewModelTest | waitAndType | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[3]/ul/li/div/div[2]/div[2]/div/div/p] | TYPE_ACTION | 1567 ms
2026-07-13 18:34:37.673 CHROME | createNewModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[3]/ul/li/div/div[3]/button[1]' | CLICK_ACTION | 2451 ms
2026-07-13 18:34:43.388 CHROME | createNewModelTest | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[5]/div[1]/button[2]] | CLICK_ACTION | 694 ms
2026-07-13 18:34:44.368 CHROME | createNewModelTest | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[5]/div[2]/div[1]/div/button[2]] | CLICK_ACTION | 951 ms
2026-07-13 18:34:46.891 CHROME | createNewModelTest | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[5]/div[2]/div[3]/div/div[3]/div/div[1]] | CLICK_ACTION | 2505 ms
2026-07-13 18:34:57.766 CHROME | createNewModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[5]/div[2]/div[3]/div/div[5]/div/button[2]' | CLICK_ACTION | 2773 ms
2026-07-13 18:34:58.316 CHROME | createNewModelTest | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[5]/div[2]/div[1]/div/button[3]] | CLICK_ACTION | 500 ms
2026-07-13 18:34:59.201 CHROME | createNewModelTest | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[5]/div[2]/div[2]/div/div[2]/div[2]/div/textarea] | CLICK_ACTION | 878 ms
2026-07-13 18:35:00.779 CHROME | createNewModelTest | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[5]/div[2]/div[1]/div/button[4]] | CLICK_ACTION | 1344 ms
2026-07-13 18:35:10.025 CHROME | createNewModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[5]/div[2]/div[1]/button' | CLICK_ACTION | 1226 ms
2026-07-13 18:35:20.189 CHROME | createNewModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[6]/button' | CLICK_ACTION | 2092 ms
2026-07-13 18:35:20.985 CHROME | createNewModelTest | waitAndType | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[6]/div[3]/div[2]/input] | TYPE_ACTION | 788 ms
2026-07-13 18:35:30.426 CHROME | createNewModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[6]/div[3]/div[3]/button[1]' | CLICK_ACTION | 1407 ms
2026-07-13 18:35:32.006 CHROME | createNewModelTest | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/header/div[1]/nav/button[1]] | CLICK_ACTION | 694 ms
2026-07-13 18:35:33.259 CHROME | editingModelTest_alerts | click | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/header/div[1]/nav/button[1]] | CLICK_ACTION | 294 ms
2026-07-13 18:35:38.038 CHROME | editingModelTest_alerts | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/div[2]/div[2]/table/tbody/tr/td[2]/button] | CLICK_ACTION | 956 ms
2026-07-13 18:35:42.417 CHROME | editingModelTest_alerts | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[2]/div[3]/div[1]/div[2]/div/span] | CLICK_ACTION | 3942 ms
2026-07-13 18:35:51.322 CHROME | editingModelTest_alerts | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[1]/span[2]' | CLICK_ACTION | 874 ms
2026-07-13 18:35:59.344 CHROME | editingModelTest_alerts | waitAndJsClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[2]/div[2]/div/div/div] | JS_CLICK_ACTION | 3171 ms
