2026-07-07 14:11:12.002 EDGE | newModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="tilesHolder"]/div[1]/div/div[1]/div' | CLICK_ACTION | 7307 ms
2026-07-07 14:11:12.967 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (df5940e0e7ab41a2bc9ea2cc7f814d6d)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 895 ms
2026-07-07 14:11:17.696 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (df5940e0e7ab41a2bc9ea2cc7f814d6d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 4640 ms
2026-07-07 14:12:53.530 EDGE | newModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="tilesHolder"]/div[1]/div/div[1]/div' | CLICK_ACTION | 9257 ms
2026-07-07 14:12:54.425 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (c9de8858d1c192b50ee19de35794f7c6)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 883 ms
2026-07-07 14:12:59.357 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (c9de8858d1c192b50ee19de35794f7c6)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 4905 ms
2026-07-07 14:13:06.121 EDGE | newModelTest | click | [[EdgeDriver: MicrosoftEdge on mac (c9de8858d1c192b50ee19de35794f7c6)] -> xpath: (//span[contains(@class,'text-sm') and normalize-space()='node1'])[1]] | CLICK_ACTION | 6349 ms
2026-07-07 14:14:34.752 EDGE | newModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="tilesHolder"]/div[1]/div/div[1]/div' | CLICK_ACTION | 7299 ms
2026-07-07 14:14:35.672 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (24623a86d2fc7dc0786eccbd6e35dca5)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 854 ms
2026-07-07 14:14:40.462 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (24623a86d2fc7dc0786eccbd6e35dca5)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 4780 ms
2026-07-07 14:16:40.986 EDGE | newModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="tilesHolder"]/div[1]/div/div[1]/div' | CLICK_ACTION | 7697 ms
